id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;mileage;n_photos
764468313.html;23665;23665;;;4.6;122;4.3;129 reviews;10;15
767179379.html;28994;;;Good Deal;4.8;1086;4.8;36 reviews;37,224;41
755158647.html;31000;34515;;;4.9;226;5;12 reviews;5;32
753572999.html;19471;20230;;;5;169;4.4;45 reviews;10;18
765408319.html;22995;;23995;Good Deal;4.8;1086;4.8;54 reviews;51,225;43
757108951.html;28419;29980;;;4.9;287;4.7;25 reviews;1;9
763433458.html;22574;24120;;;4.8;236;4.9;55 reviews;14;18
767048297.html;33000;;33800;Great Deal;4.6;289;4.7;97 reviews;50,180;29
766994144.html;17300;;;Good Deal;4.6;263;4.8;550 reviews;75,639;35
764520647.html;35285;;;Good Deal;4.5;63;4.6;81 reviews;89,029;32
733851583.html;29780;;;;4.6;409;4.8;43 reviews;13;11
745113298.html;20084;26290;;;5;303;4.7;42 reviews;5;14
757482515.html;43202;48310;;;3.8;53;4.9;215 reviews;3;20
761296131.html;54624;58065;;;4.9;53;4.5;23 reviews;10;23
766654121.html;23995;;;Good Deal;4.8;1086;4.6;11 reviews;45,257;44
759864564.html;25688;;;Good Deal;4.9;701;4.8;136 reviews;56,126;30
765716761.html;35999;43465;36599;;5;25;4.3;30 reviews;4;15
765291434.html;61992;;;Good Deal;4.7;308;4.6;5 reviews;35,833;52
766175029.html;21990;;;Good Deal;4.8;424;4.9;57 reviews;61,773;31
761349266.html;28995;;31058;Great Deal;-1;-1;4.9;193 reviews;21,597;26
766206120.html;28997;30133;;;5;6;4.5;62 reviews;1;7
766997449.html;20517;;;Good Deal;4.5;761;4.8;5 reviews;5,578;38
763723146.html;27668;27668;;;2.5;10;4.5;62 reviews;10;6
766765382.html;17990;;;Good Deal;5;17;4.9;140 reviews;16,394;27
758527210.html;45595;59250;;;4.4;26;4.8;15 reviews;28;22
750902080.html;35385;41385;;;5;303;5;2 reviews;146;13
766086909.html;19997;;;Great Deal;4.8;68;4;11 reviews;40,291;32
765860240.html;20597;;;Good Deal;-1;-1;4.8;267 reviews;35,892;32
762369564.html;41700;;;Great Deal;4.6;289;4.7;66 reviews;8,388;29
761220293.html;15640;;;Good Deal;4.7;359;4.9;468 reviews;35,956;46
752052990.html;24989;;;Great Deal;5;68;4.6;37 reviews;27,602;22
763439094.html;21170;;;;4.6;409;4.9;55 reviews;6;17
741029918.html;40999;51950;;;5;25;4.7;261 reviews;4;15
757456399.html;74197;81535;;;5;303;5;3 reviews;5;18
753027873.html;35790;38470;;;4.6;262;4.8;39 reviews;16;15
737429606.html;93997;;;Good Deal;4.8;68;5;1 reviews;18,996;32
766797874.html;33336;39685;;;5;303;4.7;26 reviews;8;18
766648263.html;53211;55210;;;4.5;63;4;1 reviews;51;32
750349651.html;36133;38354;;;5;6;4.6;63 reviews;;23
766521757.html;23887;;;Good Deal;4.8;1125;4.9;84 reviews;14,603;40
