id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;n_photos;City MPG;Drivetrain;Engine;Exterior Color;Fuel Type;Highway MPG;Interior Color;Mileage;Stock;Transmission;VIN
764468313.html;$23,665;$23,665;;;4.6;122;4.3;129 reviews;15;30;FWD;1.4L I4 16V GDI DOHC Turbo;Habanero Orange;Gasoline;40;Black;10;064638;8-Speed Automatic;3VWC57BU9KM064638
767179379.html;$28,994;;;Good Deal;4.8;1086;4.8;36 reviews;41;;RWD;Twin Turbo Premium Unleaded V-6 3.0 L/183;Iridium Silver Metallic;Gasoline;;Red/Black;37,224;30749;7-Speed Automatic w/OD;WDDKJ6FB4GF335325
755158647.html;$31,000;$34,515;;;4.9;226;5;12 reviews;32;22;RWD;2.0L I4 16V GDI DOHC Turbo;Snow White Pearl;Gasoline;29;Black;5;A4451;8-Speed Automatic;KNAE15LA9K6050316
753572999.html;$19,471;$20,230;;;5;169;4.4;45 reviews;18;;FWD;1.6L I4 16V MPFI DOHC;Brilliant Silver;Gasoline;;Charcoal;10;N18398T;Automatic CVT;3N1CP5CUXJL531315
765408319.html;$22,995;;$23995;Good Deal;4.8;1086;4.8;54 reviews;43;21;RWD;Premium Unleaded V-6 2.5 L/152;Ultra White;Gasoline;30;Black/Garnet;51,225;30477;6-Speed Automatic w/OD;JTHBF1D2XF5067210
757108951.html;$28,419;$29,980;;;4.9;287;4.7;25 reviews;9;25;FWD;2.5L I4 16V GDI DOHC;Soul Red Crystal Metallic;Gasoline;31;Silk Beige;1;M14379;6-Speed Automatic;JM3KFACM9K1505437
763433458.html;$22,574;$24,120;;;4.8;236;4.9;55 reviews;18;31;FWD;1.5L 1.5L I-4 DI DOHC Turbocharged;Aegean Blue Metallic;Gasoline;40;Black;14;190476;Automatic;2HGFC3B37KH352227
767048297.html;$33,000;;$33800;Great Deal;4.6;289;4.7;97 reviews;29;19;AWD;3.5L V6 24V GDI SOHC;Black;Gasoline;27;Espresso;50,180;2000257883;9-Speed Automatic;5FRYD4H55HB001977
766994144.html;$17,300;;;Good Deal;4.6;263;4.8;550 reviews;35;23;FWD;Intercooled Turbo Regular Unleaded I-4 1.5 L/91;Red;Gasoline;30;Char Blk Heated Leather-T;75,639;19T315;6-Speed Automatic w/OD;1FMCU0JD7HUA88208
764520647.html;$35,285;;;Good Deal;4.5;63;4.6;81 reviews;32;16;RWD;8 Cylinder Engine 5.3L;White;Gasoline;22;;89,029;F1422B;AUTOMATIC;1GNSCCKC9FR203313
733851583.html;$29,780;;;;4.6;409;4.8;43 reviews;11;47;FWD;2.0L I4 16V MPFI DOHC Hybrid;Black;Hybrid;47;;13;H181284;Automatic CVT;1HGCV3F41JA000578
745113298.html;$20,084;$26,290;;;5;303;4.7;42 reviews;14;25;FWD;Turbocharged I4 1.4/83;Winterberry Red Metallic;Gasoline;30;Ebony;5;BJ5002;6-Speed Automatic;KL4CJASB0KB703453
757482515.html;$43,202;$48,310;;;3.8;53;4.9;215 reviews;20;;FWD;Intercooled Turbo Premium Unleaded I-4 2.3 L/140;Blue Metallic;Gasoline;;Medium Stone;3;C02810;6-Speed Automatic w/OD;1FM5K7FHXJGC02810
761296131.html;$54,624;$58,065;;;4.9;53;4.5;23 reviews;23;17;Four Wheel Drive;5.3L Ecotec3 V8 Engine;Deep Mahogany Metallic;Gasoline;23;;10;KZ217424;Automatic;1GTU9DED5KZ217424
766654121.html;$23,995;;;Good Deal;4.8;1086;4.6;11 reviews;44;;AWD;Premium Unleaded V-6 3.6 L/220;Deep Black Pearl;Gasoline;;Cornsilk Beige;45,257;30290;8-Speed Automatic w/OD;WVGEF9BPXFD007182
759864564.html;$25,688;;;Good Deal;4.9;701;4.8;136 reviews;30;17;FWD;3.3L V6 24V GDI DOHC;Monaco White;Gasoline;24;Gray;56,126;HK3588;6-Speed Automatic;KM8SR4HFXHU187830
765716761.html;$35,999;$43,465;$36599;;5;25;4.3;30 reviews;15;;4WD;5.3L V8 16V GDI OHV;Summit White;Gasoline;;;4;19-230;6-Speed Automatic;1GCRYCEF0KZ274165
765291434.html;$61,992;;;Good Deal;4.7;308;4.6;5 reviews;52;14;AWD;4.4L V8 32V GDI DOHC Twin Turbo;Gray;Gasoline;19;Black;35,833;LG0R78790;8-Speed Automatic;5YMKT6C56G0R78790
766175029.html;$21,990;;;Good Deal;4.8;424;4.9;57 reviews;31;21;FRONT WHEEL;3.5L 6 Cyl. Gas;Black;Gasoline;31;BLACK;61,773;219296-H;AUTOMATIC;JTHBK1GGXG2219296
761349266.html;$28,995;;$31058;Great Deal;-1;-1;4.9;193 reviews;26;16;4WD;3.6L V6 24V MPFI DOHC;Bright White Clearcoat;Gasoline;21;Black;21,597;P4521;6-Speed Manual;1C4BJWEG9HL532548
766206120.html;$28,997;$30,133;;;5;6;4.5;62 reviews;7;26;FWD;2.5 L;Super White;Gasoline;35;Nutmeg;1;00N35081;Automatic;JTMW1RFV7KD017470
766997449.html;$20,517;;;Good Deal;4.5;761;4.8;5 reviews;38;;FWD;1.5L I4 16V GDI DOHC Turbo;Shadow Gray Metallic;Gasoline;;Jet Black;5,578;F112849A;Automatic CVT;1G1ZB5ST7KF119176
763723146.html;$27,668;$27,668;;;2.5;10;4.5;62 reviews;6;26;FWD;2.5L I4 16V PDI DOHC;Gray;Gasoline;35;;10;008842;8-Speed Automatic;2T3H1RFV1KW008842
766765382.html;$17,990;;;Good Deal;5;17;4.9;140 reviews;27;27;FWD;2.5L I4 16V MPFI DOHC;Super Black;Gasoline;38;Charcoal;16,394;242010;Automatic CVT;1N4AL3AP7JC242010
758527210.html;$45,595;$59,250;;;4.4;26;4.8;15 reviews;22;18;FWD;3.6L V6 24V GDI DOHC;Satin Steel Metallic;Gasoline;26;Chestnut;28;94107;9-Speed Automatic;5GAERDKW4KJ201595
750902080.html;$35,385;$41,385;;;5;303;5;2 reviews;13;25;FWD;Gas V6 3.6L/;Summit White;Gasoline;35;Light Neutral;146;BJ0001C;9-Speed Automatic;1G4ZP5SS1KU107497
766086909.html;$19,997;;;Great Deal;4.8;68;4;11 reviews;32;19;RWD;2.5L V6 DOHC 24V;White;Gasoline;27;White;40,291;515092;Automatic;JTHFF2C28B2515092
765860240.html;$20,597;;;Good Deal;-1;-1;4.8;267 reviews;32;22;AWD;2.5L H4 16V MPFI DOHC;Quartz Blue Pearl;Gasoline;28;Gray;35,892;1310022208;Automatic CVT;JF2SJAEC5HH574302
762369564.html;$41,700;;;Great Deal;4.6;289;4.7;66 reviews;29;;4WD;5.7L V8 16V MPFI OHV;Red;Gasoline;;Brown;8,388;2000164929;6-Speed Automatic;3C6TR5KT6GG192738
761220293.html;$15,640;;;Good Deal;4.7;359;4.9;468 reviews;46;23;Front Wheel Drive;2.4L 4 CYLINDER;Black;Gasoline;32;Tan;35,956;HA303417;CVT;1HGCR2F32HA303417
752052990.html;$24,989;;;Great Deal;5;68;4.6;37 reviews;22;16;RWD;0;Black;Gasoline;25;;27,602;9282P;Auto 8-Spd Shiftronic;KMHGN4JE8GU113887
